Periods,Total Consumption,AC,Dish washer,Washing Machine,Dryer,Water heater,TV,Microwave,Kettle,Lighting,Refrigerator
31,2.264402161573236,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,2.299216406791099,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,2.26784668053472,0,0.0,0.0,0.0,0.0,0.0,0.0,2.07845161290322,0.0,0.0
34,2.212611358616625,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,2.286176442151192,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14
36,2.244719196079036,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,2.224667174981822,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,2.932638840101285,0,2.25704285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14
39,3.211275820378537,0,2.228125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14
40,3.242399509566238,0,0.0,0.00196,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,2.816878399288529,0,0.0,0.648033333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,2.247056548231473,0,0.0,1.19420666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,2.390127103667431,0,0.0,1.88780666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.14
44,2.369213952829845,0,0.0,0.05902,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,2.402305938566966,0,0.0,0.00959333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,2.356666062327292,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14
47,2.382499954538428,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,2.365400378265343,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,2.342518930878337,0,0.0,0.0,1.395275,0.658,0.0,0.0,0.0,0.0,0.14
50,2.428016812243763,0,0.0,0.0,1.61951875,0.068,0.0,0.0,0.0,0.0,0.14
51,2.423465126473229,0,0.0,0.0,1.59697499999999,0.557,0.0330846153846153,0.0,0.0,0.0,0.0
52,2.460001631171837,0,0.0,0.0,0.0,0.101,0.0325923076923076,0.0,0.0,0.0,0.0
53,2.393325585560238,0,0.0,0.0,0.0,1.016,0.0328692307692307,0.0,0.0,0.0,0.0
54,2.369952064035877,0,0.0,0.0,0.0,0.793,0.032,1.13016111111111,0.0,0.0,0.14
55,2.432568498014296,0,0.0,0.0,0.0,0.103,0.0313153846153846,0.0,0.0,0.0,0.0
56,0.7846122120125004,0,0.0,0.0,0.0,0.418,0.0,0.0,0.0,0.0,0.0
57,0.7271625564763075,0,0.0,0.0,0.0,0.397,0.0,0.0,0.0,0.0,0.0
58,0.4969948787285203,0,0.0,0.0,0.0,0.118,0.0699885714285714,0.0,0.0,0.0,0.0
59,1.316544354493223,0,0.0,0.0,0.0,0.469,0.0793828571428571,0.0,0.0,0.0,0.0
60,2.236353935744003,0,0.0,0.0,0.0,0.0,0.0719028571428571,0.0,0.0,0.0,0.0
61,2.464430298408031,0,0.0,0.0,0.0,0.0,0.0366457142857142,0.0,0.0,0.0,0.0
62,2.165495259964887,0,0.0,0.0,0.0,0.0,0.0367942857142857,0.0,2.07845161290322,0.0,0.0
63,1.218252545556568,0,0.0,0.0,0.0,0.0,0.03688,0.0,0.0,0.0,0.0
64,1.197708450321998,0,0.0,0.0,0.0,0.0,0.0351428571428571,0.0,0.0,0.0,0.0
65,1.257372439476288,0,1.17678333333333,0.0,0.0,0.0,0.0250685714285714,0.0,0.0,0.0,0.0
66,1.188851115849608,0,0.6395,0.0,0.0,0.0,0.0250857142857142,0.0,0.0,0.0,0.14
67,1.268321089032437,0,0.08705,0.0,0.0,0.658,0.02516,0.0,0.0,0.0,0.0
68,1.41569729317025,0,0.0850583333333333,0.0,0.0,0.068,0.0251028571428571,1.13016111111111,0.0,0.0,0.0
69,1.490000487910851,0,0.0725916666666666,0.0,0.0,0.557,0.0251257142857142,0.0,0.0,0.0,0.14
70,1.739728112618498,0,1.353475,0.0,0.0,0.101,0.0249942857142857,0.0,0.0,0.0,0.14
71,1.465888855180457,0,0.0,0.0,0.0,1.016,0.0251657142857142,0.0,0.0,0.0,0.0
72,1.32761602258371,0,0.0,0.0,0.0,0.793,0.0250685714285714,0.0,0.0,0.0,0.0
73,1.341517116963988,0,0.0,1.12959130434782,0.0,0.103,0.0251714285714285,0.0,0.0,0.0,0.0
74,1.378299658731272,0,0.0,0.273443478260869,0.0,0.418,0.0251142857142857,0.0,0.0,0.0,0.14
75,1.31875868811132,0,0.0,0.0800695652173913,0.0,0.397,0.0,0.0,0.0,0.0,0.0
76,1.356648396687653,0,0.0,1.22648695652173,0.0,0.118,0.0,0.0,0.0,0.0,0.0
77,1.378299658731272,0,0.0,0.399043478260869,0.0,0.469,0.0,0.0,0.0,0.0503333333333333,0.14
78,0.4129732197751589,0,0.0,0.135026086956521,0.0,0.0,0.0,0.0,0.0,0.0686666666666666,0.0
79,0.443112760688151,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0686666666666666,0.0
80,0.4682085416932544,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.069,0.14
81,0.3569997866510312,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0676666666666666,0.14
82,0.4410214456043924,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.069,0.0
83,0.3685635288788728,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0686666666666666,0.0
84,0.3550314901016112,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0683333333333333,0.0
85,0.4514780210231855,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.107,0.14
86,0.3392851177062522,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.121333333333333,0.0
87,0.3738533258554388,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.121666666666666,0.0
88,0.4368388154368752,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.136333333333333,0.0
89,0.3883695129074105,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.342,0.0
90,0.4782960615090313,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.342666666666666,0.0
91,0.4213384801101935,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.342,0.0
92,0.3496186745907065,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,0.4554146141220253,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,0.3770518077482461,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,0.3501107487280615,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,0.4780500244403538,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.3459281185605442,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.3721310663746964,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.521967641199285,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.4075604042642545,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.4140803865842078,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14
6,0.4138343495155302,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.346051137094883,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.4378229637115851,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14
9,0.3919370504032339,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14
10,0.3549084715672725,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.4616885593733011,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.3841868827398933,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.4460652055122807,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14
14,0.513356343795573,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.3593371388034671,0,0.0,0.0,0.0,0.273,0.0,0.0,0.0,0.0,0.0
16,0.3942744025556702,0,0.0,0.0,0.0,0.194,0.0,0.0,0.0,0.0,0.14
17,0.441144464138731,0,0.0,0.0,0.0,0.016,0.0,0.0,0.0,0.0,0.0
18,0.5709290178661045,0,0.0,0.0,0.0,0.517,0.0,0.0,0.0,0.0,0.0
19,1.411760700071411,0,0.0,0.0,0.0,0.432,0.0,0.0,0.0,0.0,0.14
20,1.414221070758185,0,0.0,0.0,0.0,0.399,0.0,0.0,0.0,0.0,0.14
21,1.327493004049372,0,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.0
22,0.4322871296663416,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.4655021339378022,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.3972268473798,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14
25,0.4534463175726054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.3830797159308446,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.3544163974299175,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.4586130960148325,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.3604443056125158,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.3583529905287572,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0.4523391507635566,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0.3514639526057876,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,0.45984328135822,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,0.4651330783347858,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,0.3392851177062521,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,0.4127271827064816,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,0.398703069791865,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,0.3430986922707532,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14
39,0.422076591316226,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,0.3774208633512624,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,0.3589680832004509,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14
42,0.4353625930248103,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14
43,0.4353625930248103,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,0.4159256645992888,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,0.4288426107048567,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,0.345559062957528,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14
47,0.4014094775473174,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,0.4213384801101935,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,0.372869177580729,0,0.0,0.0,0.0,0.0,0.005448,0.0,0.0,0.0,0.14
50,0.3956276064333963,0,0.0,0.0,0.0,0.0,0.160175999999999,0.0,0.0,0.0,0.0
51,0.3998102366009135,0,0.0,0.0,0.0,0.0,0.19748,0.0,0.0,0.0,0.0
52,0.4037468296997532,0,0.0,0.0,0.0,0.0,0.195919999999999,0.0,0.0,0.0,0.14
53,0.4754666352192402,0,0.0,0.0,0.0,0.0,0.11416,0.0,0.0,0.0,0.14
54,0.4162947202023049,0,0.0,0.0,0.0,0.0,0.00553599999999999,0.0,0.0,0.0,0.0
55,0.3807423637784084,0,0.0,0.0,0.0,0.0,0.005528,0.0,0.0,0.0,0.0
56,0.4214614986445323,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,0.3916910133345566,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14
58,0.3798812340380372,0,0.0,0.0,0.0,0.346,0.0,0.0,0.0,0.0,0.0
59,0.4507399098171531,0,0.0,0.0,0.0,0.207,0.0,0.0,0.0,0.0,0.0
60,0.3957506249677351,0,0.0,0.0,0.0,0.373,0.0,0.0,0.0,0.0,0.0
61,1.129802219367012,0,0.0,1.02162857142857,0.0,0.079,0.0,0.0,0.0,0.0,0.0
62,1.439931944434983,0,0.0,0.0830571428571428,0.580266666666666,0.0,0.0,0.0,0.0,0.0,0.0
63,1.462444336218973,0,0.0,0.00149714285714285,1.21173333333333,0.0,0.001536,0.0,0.0,0.0,0.0
64,1.275210126955406,0,0.0,0.0,0.0,0.0,0.183992,0.0,0.0,0.0503333333333333,0.0
65,0.8552248507229386,0,0.0,0.0,0.0,0.0,0.186656,0.0,0.0,0.0686666666666666,0.0
66,1.301413074769558,0,0.0,0.0,0.0,0.0,0.184015999999999,0.0,0.0,0.0686666666666666,0.0
67,1.37952984407466,0,0.0,0.0,0.0,0.0,0.185264,0.0,0.0,0.069,0.0
68,1.848599515508285,0,0.0,0.0,0.0,0.0,0.193864,0.0,0.0,0.0676666666666666,0.0
69,2.213349469822657,0,0.0,0.0,0.0,0.0,0.191576,0.0,1.88392857142857,0.069,0.0
70,2.057238949746792,0,0.0,1.5549,0.0,0.0,0.179168,0.0,0.0,0.0686666666666666,0.0
71,1.650908730825927,0,0.0,0.1239125,0.0,0.0,0.104096,0.0,0.0,0.0683333333333333,0.0
72,1.962268641237283,0,0.0,0.1120375,0.0,0.0,0.185992,0.0,0.0,0.107,0.0
73,2.274120625785996,0,0.0,0.05130625,0.0,0.0,0.187175999999999,0.0,0.0,0.121333333333333,0.0
74,1.833345217250282,0,0.0,0.00398125,0.0,0.0,0.186,0.0,0.0,0.121666666666666,0.14
75,1.760272207853069,0,0.0,0.003975,0.0,0.0,0.180688,0.0,0.0,0.136333333333333,0.0
76,1.410284477659345,0,0.0,0.0,0.0,0.0,0.1794,0.0,0.0,0.342,0.0
77,1.151576499944969,0,0.0,0.0,0.0,0.0,0.176416,0.0,0.0,0.342666666666666,0.14
78,1.226002713219909,0,0.0,0.0,0.0,0.0,0.0126959999999999,0.0,0.0,0.342,0.14
79,1.229816287784411,0,0.0623733333333333,0.0,0.0,0.0,0.0,1.15779487179487,0.0,0.0,0.0
80,1.995975719646099,0,1.61699333333333,0.0,0.0,0.273,0.0,0.0,0.0,0.0,0.0
81,2.574162831038189,0,0.408733333333333,0.0,0.0,0.194,0.0,0.0,0.0,0.0,0.0
82,2.228603768080661,0,0.0990866666666666,0.0,0.0,0.016,0.0,0.0,0.0,0.0,0.14
83,2.298478295585068,0,1.69659999999999,0.0,0.0,0.517,0.0,0.0,0.0,0.0,0.0
84,2.396524067453045,0,0.2043,0.0,0.0,0.432,0.0,0.0,0.0,0.0,0.0
85,2.050841985961178,0,0.0,0.0,0.0,0.399,0.0,0.0,0.0,0.0,0.14
86,1.499964989192288,0,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.0
87,0.8396014968619184,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,0.4864152847753884,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14
89,0.4994552494152952,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14
90,0.4096517193480129,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,0.4821096360735324,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,0.558258108829214,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,0.4233067766596134,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14
94,0.4696847641053193,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,0.756194930580251,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,1.096218159492535,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.9162420437549552,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.4500017986111206,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1.416435404376282,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1.370795528136609,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14
5,1.366981953572108,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1.334628079041019,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.366103158192098,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14
8,0.2563706255619397,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14
9,0.273470201835025,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.2978278716340959,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.2717479423542825,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.2819584807043981,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14
13,0.2716249238199438,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.2680573863241202,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.3604443056125159,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14
16,0.3299357090965076,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.2621524966758605,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.3235387453108931,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14
19,0.2498506432419863,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14
20,0.2673192751180877,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.290077703970755,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.6511371022549648,0,0.0,0.0,0.0,0.346,0.0,0.0,0.0,0.0,0.0
23,1.278654645916891,0,0.0,0.0,0.0,0.207,0.0,0.0,0.0,0.0,0.14
24,1.292186684694152,0,0.0,0.0,0.0,0.373,0.0,0.0,0.0,0.0,0.0
25,0.3364556914164611,0,0.0,0.0,0.0,0.079,0.0,0.0,0.0,0.0,0.0
26,0.3685635288788729,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.2489895135016152,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.2798671656206395,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.3151734849758586,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.2219254359470916,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0.285279981131544,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0.291061852245465,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,0.2269691958549801,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,0.2965976862907085,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,0.3368247470194774,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,0.3191100780746984,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,0.3113599104113575,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,0.3873853646327005,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,0.7434010030090216,0,0.0,0.0,0.0,0.346,0.0,0.0,0.0,0.0,0.14
40,0.781413730119693,0,0.0,0.0,0.0,0.207,0.0,0.0,0.0,0.0,0.0
41,0.7521353189470724,0,0.0,0.0,0.0,0.373,0.0,0.0,0.0,0.0,0.0
42,0.7684967840141251,0,0.0,0.0,0.0,0.079,0.0,0.0,0.0,0.0,0.14
43,0.8140136417194599,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14
44,0.8917613554215454,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,0.6660223449099524,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,0.3478964151099642,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,1.260324884300418,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14
48,1.329215263530114,0,0.0,0.0,0.580266666666666,0.0,0.0,0.0,0.0,0.0,0.0
49,1.309901353638931,0,0.0,0.0,1.21173333333333,0.0,0.0483384615384615,0.0,0.0,0.0,0.0
50,1.250483401553319,0,0.0,0.0,0.0,0.0,0.0492384615384615,0.0,0.0,0.0,0.14
51,1.298583648479767,0,0.0,0.0,0.0,0.0,0.0486846153846153,0.0,0.0,0.0,0.0
52,1.299567796754477,0,0.0,0.0,0.0,0.0,0.0485461538461538,1.243,0.0,0.0,0.0
53,1.249130197675593,0,0.79978125,0.0,0.0,0.0,0.0484076923076923,0.0,0.0,0.0,0.14
54,1.328846207927097,0,1.02124375,0.0,0.0,0.0,0.0472076923076923,0.0,0.0,0.0,0.14
55,1.349267284627329,0,0.269475,0.0,0.0,0.0,0.0488461538461538,0.0,0.0,0.0,0.0
56,1.313099835531739,0,1.1388375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,1.336719394124778,0,0.06804375,0.0003625,0.0,0.0,0.0,1.243,0.0,0.0,0.0
58,1.275579182558422,0,0.0,1.0504875,0.0,0.0,0.0,0.0,0.0,0.0,0.14
59,1.084408380196016,0,0.0,0.53004375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,0.3273523198753941,0,0.0,0.10714375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,0.2409933087695967,0,0.0,0.17709375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,0.3109908548083414,0,0.0,0.028525,0.0,0.0,0.0562125,0.0,0.0,0.0,0.0
63,0.3041018168853716,0,0.0,0.0,0.0,0.0,0.106125,0.0,0.0,0.0,0.0
64,0.2584619406456982,0,0.0,0.0,0.0,0.0,0.09605625,0.0,0.0,0.0,0.0
65,0.4300727960482441,0,0.0,0.0,0.0,0.0,0.09865,0.0,0.0,0.0,0.0
66,0.3045938910227267,0,0.0,0.0,0.0,0.0,0.102325,0.0,0.0,0.0,0.0
67,0.2701487014078788,0,0.0,0.0,0.0,0.0,0.10014375,0.0,0.0,0.0,0.0
68,0.3520790452774814,0,0.0,0.0,0.0,0.0,0.0988875,0.0,0.0,0.0,0.0
69,0.2296756036104325,0,0.0,0.0,0.0,0.0,0.093825,0.0,0.0,0.0,0.0
70,0.2772837763995259,0,0.0,0.0,0.0,0.0,0.100125,0.0,0.0,0.0,0.0
71,0.3180029112656496,0,0.0,0.0,0.0,0.0,0.0481625,0.0,0.0,0.0,0.0
72,0.2273382514579964,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,0.3191100780746984,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14
74,0.311605947480035,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,0.3108678362740027,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,0.391444976265879,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14
77,0.2400091604948869,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14
78,0.2470212169521952,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,0.3502337672624001,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,0.2293065480074163,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,0.289216574230384,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14
82,0.3096376509306152,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,0.2317669186941911,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,0.3734842702524226,0,0.0269875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14
